timestamp,steering,offset
1751030154.2595243,0.046,0.262
1751030154.359454,0.043,0.185
1751030154.4600835,0.039,0.118
1751030154.5594382,0.031,0.0
1751030154.66,0.022,0.0
1751030154.7594666,0.01,-0.147
1751030154.8595119,-0.001,-0.226
1751030154.9596632,-0.01,-0.3
1751030155.0594382,-0.022,-0.392
1751030155.2027106,-0.036,-0.498
1751030155.2595508,-0.041,-0.549
1751030155.3593569,-0.048,-0.61
1751030155.459391,-0.057,-0.677
1751030155.5594401,-0.063,-0.723
1751030155.6598625,-0.074,-0.772
1751030155.759804,-0.08,0.803
1751030155.8597982,-0.087,-0.798
1751030155.9592962,-0.095,0.754
1751030156.0596352,-0.101,-0.628
1751030156.194171,-0.107,-0.429
1751030156.2594292,-0.111,0.31
1751030156.3594534,-0.117,0.0
1751030156.4604251,-0.121,0.258
1751030156.5599504,-0.123,-0.561
1751030156.6593173,-0.123,-0.46
1751030156.759669,-0.123,-0.344
1751030156.8595357,-0.123,-0.18
1751030156.960151,-0.123,0.0
1751030157.0594573,-0.123,0.184
1751030157.2093315,-0.123,0.499
1751030157.259733,-0.123,0.661
1751030157.3595889,-0.123,-0.172
1751030157.4594398,-0.125,0.466
1751030157.559873,-0.13,0.959
1751030157.6592963,-0.137,1.579
1751030157.7600837,-0.141,-1.328
1751030157.860262,-0.142,-0.711
1751030157.9594488,-0.142,0.0
1751030158.059497,-0.142,0.0
1751030158.182114,-0.142,0.551
1751030158.2595007,-0.142,1.004
1751030158.359919,-0.142,1.457
1751030158.4596593,-0.142,-1.328
1751030158.5594718,-0.142,-0.871
1751030158.6597166,-0.142,-0.44
1751030158.7596433,-0.142,0.0
1751030158.8602402,-0.142,0.249
1751030158.9592857,-0.146,0.587
1751030159.0592976,-0.152,0.885
1751030159.182941,-0.148,-0.17
1751030159.25954,-0.138,0.317
1751030159.3597395,-0.121,0.0
1751030159.4597304,-0.11,0.694
1751030159.5594602,-0.098,1.427
1751030159.6599867,-0.079,-1.346
1751030159.7596512,-0.06,-0.611
1751030159.859367,-0.04,0.102
1751030159.9605904,-0.023,0.795
1751030160.0597386,-0.011,0.801
1751030160.1769457,-0.007,0.6
